fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-05-24,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"45,4",14,"0,0","6,9",10:50,"11,0","5,3",01:00,"16,6",11:20,88,99,Varias,61,10:40
2014-05-25,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"26,2",11,"0,3","13,1",03:20,"11,0","8,2",23:59,"13,7",14:40,99,99,Varias,98,15:00
2014-05-26,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",34,"2,5","8,3",15:30,"11,0","7,2",22:00,"14,9",15:00,80,99,Varias,60,13:30
2014-05-27,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,7",28,"0,6","5,3",13:10,"12,9","5,8",04:00,"20,0",15:30,72,99,Varias,50,14:50
2014-05-28,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,3",33,"1,1","7,5",12:00,"11,2","8,8",23:59,"13,5",11:50,98,99,Varias,92,Varias
2014-05-29,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,6",32,"0,8","6,1",Varias,"11,8","5,5",03:40,"18,2",15:20,74,99,Varias,56,15:10
2014-05-30,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",35,"2,5","7,8",09:20,"11,5","7,7",23:50,"15,3",14:00,84,99,Varias,72,15:10
2014-05-31,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",01,"1,7","11,1",11:30,"11,8","6,7",05:00,"16,8",13:40,79,99,Varias,63,11:20
2014-06-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",02,"2,5","9,4",10:30,"13,4","8,6",23:59,"18,3",11:50,81,99,Varias,68,12:20
2014-06-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",33,"2,8","9,2",15:10,"11,8","6,7",01:30,"16,8",15:30,91,99,Varias,77,15:20
2014-06-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",33,"0,3","5,8",15:50,"14,8","6,9",00:50,"22,6",14:30,70,99,Varias,49,13:10
2014-06-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",34,"1,4","9,7",12:20,"10,1","5,8",23:59,"14,4",Varias,80,99,Varias,71,Varias
2014-06-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",14,"1,1","8,6",21:10,"15,2","5,6",00:50,"24,8",15:20,67,99,Varias,47,15:20
2014-06-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,1",14,"3,6","17,8",20:30,"23,2","18,4",05:50,"27,9",15:50,53,68,20:50,44,13:00
2014-06-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",24,"2,8","12,5",11:40,"21,0","13,9",23:59,"28,0",15:40,52,99,23:30,41,18:50
2014-06-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",21,"0,3","8,3",13:20,"20,8","12,0",04:00,"29,7",Varias,62,99,Varias,42,15:00
2014-06-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,3",21,"1,9","13,6",16:50,"20,7","11,9",04:50,"29,5",14:20,68,99,Varias,43,15:10
2014-06-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"2,2","7,2",14:10,"17,5","11,7",04:50,"23,3",14:00,80,99,Varias,66,13:50
2014-06-11,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",19,"0,0","4,7",14:10,"19,8","11,8",04:30,"27,9",15:30,75,99,Varias,45,15:50
2014-06-12,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",35,"0,6","7,5",14:10,"21,8","13,9",04:00,"29,6",14:00,68,99,Varias,46,Varias
