fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horatmax
2022-05-06,1393,CABO VILÁN,A CORUÑA,50,"13,5","0,0","11,7",02:30,"15,3",04,"10,6","18,1",13:50,72,82,00:00,68,08:50,14:20
2022-05-07,1393,CABO VILÁN,A CORUÑA,50,"15,6","0,0","11,3",06:00,"19,8",03,"2,8","13,6",02:10,64,82,19:20,52,21:00,12:40
2022-05-08,1393,CABO VILÁN,A CORUÑA,50,"16,0","0,0","12,3",03:00,"19,6",02,"3,6","7,5",Varias,67,90,22:40,49,08:20,08:20
2022-05-09,1393,CABO VILÁN,A CORUÑA,50,"15,5","0,0","12,1",01:30,"18,9",02,"2,2","8,9",22:40,73,87,Varias,50,Varias,08:00
2022-05-10,1393,CABO VILÁN,A CORUÑA,50,"14,4","0,0","11,7",04:30,"17,2",02,"5,0","9,4",10:20,75,88,Varias,67,13:00,13:00
2022-05-11,1393,CABO VILÁN,A CORUÑA,50,"15,3","0,1","12,2",01:30,"18,4",04,"4,7","12,5",22:20,78,88,Varias,70,08:30,12:30
2022-05-12,1393,CABO VILÁN,A CORUÑA,50,"14,6","0,0","13,0",01:40,"16,1",03,"10,6","17,8",13:00,81,89,Varias,76,Varias,15:10
2022-05-13,1393,CABO VILÁN,A CORUÑA,50,"14,7","0,0","12,7",04:00,"16,7",29,"4,4","12,2",00:10,81,89,Varias,77,Varias,12:30
2022-05-14,1393,CABO VILÁN,A CORUÑA,50,"16,9","0,0","13,0",02:50,"20,8",18,"1,9","18,3",23:20,72,88,03:30,56,15:30,13:50
2022-05-15,1393,CABO VILÁN,A CORUÑA,50,"16,0","3,9","13,9",22:00,"18,2",24,"12,2","22,2",22:00,80,89,08:40,74,14:10,14:50
2022-05-16,1393,CABO VILÁN,A CORUÑA,50,"16,7","7,4","13,9",05:20,"19,5",24,"9,7","20,3",16:40,77,91,05:00,64,11:20,11:30
2022-05-17,1393,CABO VILÁN,A CORUÑA,50,"15,4","2,0","13,2",12:00,"17,7",24,"8,9","21,4",07:30,84,92,10:00,72,Varias,17:30
2022-05-18,1393,CABO VILÁN,A CORUÑA,50,"16,6","0,0","13,6",00:40,"19,7",22,"6,1","10,3",14:10,76,90,Varias,60,13:30,13:20
2022-05-19,1393,CABO VILÁN,A CORUÑA,50,"15,0","0,0","12,0",05:00,"18,1",02,"4,4","8,3",16:40,79,90,Varias,72,13:30,13:10
2022-05-20,1393,CABO VILÁN,A CORUÑA,50,"15,8","0,0","14,2",01:20,"17,5",04,"8,1","16,7",17:40,84,92,03:30,78,13:00,13:10
2022-05-21,1393,CABO VILÁN,A CORUÑA,50,"19,2","1,8","14,2",Varias,"24,1",04,"4,7","15,6",07:10,83,90,Varias,43,22:20,22:40
2022-05-22,1393,CABO VILÁN,A CORUÑA,50,"17,4","4,5","13,6",23:40,"21,3",20,"4,7","11,4",01:00,88,91,Varias,50,00:10,00:20
2022-05-23,1393,CABO VILÁN,A CORUÑA,50,"15,4","0,2","12,7",22:00,"18,1",24,"3,1","9,7",04:50,75,91,Varias,62,16:40,13:20
2022-05-24,1393,CABO VILÁN,A CORUÑA,50,"15,1","2,5","12,1",01:40,"18,1",32,"3,6","8,6",09:00,69,86,22:20,65,Varias,15:00
2022-05-25,1393,CABO VILÁN,A CORUÑA,50,"15,6","0,0","12,5",03:30,"18,6",04,"2,8","14,2",23:10,72,86,21:40,64,Varias,13:20
2022-05-26,1393,CABO VILÁN,A CORUÑA,50,"15,1","0,0","13,3",04:00,"16,9",22,"4,2","19,4",17:00,73,84,Varias,70,13:00,13:00
2022-05-27,1393,CABO VILÁN,A CORUÑA,50,"16,6","0,0","13,6",04:00,"19,5",99,"3,6","15,0",Varias,67,78,Varias,61,15:00,15:00
2022-05-28,1393,CABO VILÁN,A CORUÑA,50,"20,8","0,3","14,7",04:20,"26,8",04,"1,4","11,9",00:40,55,73,Varias,35,16:00,16:00
2022-05-29,1393,CABO VILÁN,A CORUÑA,50,"18,0","0,1","15,5",02:00,"20,5",22,"3,6","10,8",13:40,69,78,08:50,57,00:00,11:30
2022-05-30,1393,CABO VILÁN,A CORUÑA,50,"17,4","0,0","14,9",04:50,"19,8",24,"3,3","9,2",16:00,74,84,04:50,68,19:20,13:10
2022-05-31,1393,CABO VILÁN,A CORUÑA,50,"17,0","19,3","14,6",03:00,"19,5",27,"3,1","19,4",13:50,79,87,11:40,77,Varias,13:20
2022-06-01,1393,CABO VILÁN,A CORUÑA,50,"18,1","0,1","15,2",23:10,"21,0",25,"5,3","12,2",13:10,77,90,Varias,62,11:00,11:10
2022-06-02,1393,CABO VILÁN,A CORUÑA,50,"18,8","0,6","14,8",02:00,"22,8",26,"5,8","12,2",09:10,67,83,03:30,53,14:10,14:10
2022-06-03,1393,CABO VILÁN,A CORUÑA,50,"17,0","1,4","14,6",04:00,"19,5",99,"4,2","8,6",Varias,86,91,Varias,72,08:30,10:00
2022-06-04,1393,CABO VILÁN,A CORUÑA,50,"16,3","0,0","13,9",23:59,"18,7",04,"5,8","10,6",02:20,80,91,Varias,74,Varias,12:40
2022-06-05,1393,CABO VILÁN,A CORUÑA,50,"16,4","5,0","13,1",04:50,"19,8",27,"6,4","13,9",23:10,72,88,00:00,58,12:50,11:30
2022-06-06,1393,CABO VILÁN,A CORUÑA,50,"17,1","0,9","14,2",23:59,"20,0",25,"6,1","13,3",05:40,79,92,Varias,71,15:30,14:10
2022-06-07,1393,CABO VILÁN,A CORUÑA,50,"17,6","5,4","14,0",02:20,"21,3",24,"5,8","13,9",16:20,76,92,Varias,57,Varias,12:30
2022-06-08,1393,CABO VILÁN,A CORUÑA,50,"18,0","1,6","16,3",Varias,"19,8",23,"4,7","12,2",01:30,89,92,Varias,82,16:00,15:20
2022-06-09,1393,CABO VILÁN,A CORUÑA,50,"18,4","0,0","15,6",23:59,"21,2",04,"3,3","11,9",23:10,75,87,Varias,66,09:50,14:20
2022-06-10,1393,CABO VILÁN,A CORUÑA,50,"17,2","0,3","15,1",23:59,"19,2",04,"6,4","14,2",23:10,73,90,Varias,66,10:40,12:10
